LCC,Yr.,Title
AC1 .A4,1909 H,"On the Sublime, French Revolution, etc."
AC1 .E8 v1,???? H,"The History of Rome, Vol. I"
AC1 .E8 v2,???? H,"The History of Rome, Vol. II"
AC1 .E8 v3,???? H,"The History of Rome, Vol. III"
AC1 .E8 v4,???? H,"The History of Rome, Vol. IV"
AC1 .E8 v5,???? H,"The History of Rome, Vol. V"
AC1 .G74 1959,1959 P,A General Introduction to the Great Books and to a Liberal Education
AC20.D45,1967,The Encyclopedia: Selections
AC25 .B3132 1972,1972 P,Mythologies
AC25 .G83 1972,1972,Historical Essays and Lectures
AC35 .E526,1954 P,Ideas and Opinions
AC35 .E528 1934,1934 H,Essays in Science
AC5 .C739 1971,1971 H,The Cosmos Reader
AC5 .N44 1964,1964 H,"The Faces of Five Decades: Selections from Fifty Years of the New Republic, 1914-1964"
AC8 .M2658,1979,Giving Good Weight
AC8 .M266,1976,The John McPhee Reader
AC8.H54,1977,Highlights from 125 years of the Atlantic
AC8.H9544 1956,1956 P,"Freedom, Education, and the Fund: Essays and Addresses: 1946-1956"
AE2.H83 1961,1961,The Didascalion of Hugh of St. Victor: a Medieval Guide to the Arts
AG105 .B82,1960,An Outline of Man's Knowledge of the Modern World
AG106 .P46 1975,1975 p,The Peoples Almanac
AG106 .P465 1978,1978 P,The Peoples Almanac #2
AG106 .P466 1981b,1981 P,The Peoples Almanac #3
AG5 .B37 1993,1990 H,The Barnes & Noble Encyclopedia
AG5 .B37 1993,1990 H,The Barnes & Noble Encyclopedia
AG5 .C726 1953,1953 P,The Columbia Viking Desk Encyclopedia
AG5 .C737,1983,The Concise Columbia Encyclopedia
AG5 .D53 1993  ,2002,Dictonary of Theories
AG5 .D53 2002,2002,Dictonary of Theories
AH81 .D563,1988,Teaching a Stone to Talk
AP2 .C639 v.38,1988 O,"Volume XXXVIII, number one: 1988/1"
AP2 .N6772 1973,1973 O,"Newsweek: The Arts in America: December 24, 1973"
AS36 .B6 A2,1997,Arion: A Journal of Humanities and the Classics
AS911 .N9 W53 1986,1986 H,The Who's Who of Nobel Prize Winners
AY59 .G7 1971,1971 H,The Great Ideas Today
AY64 I.55 1986,1986 P,The 1986 Information Please Almanac
AZ103 .C54 1980,,The Humanities in American Life
AZ221 .A35 1986,1986 H,A Guidebook to Learning: For the Lifelong Pursuit of Wisdom
AZ221 .B3 1961,1961 P,The House of Intellect
AZ361 .S56 1961,1961 H,The Two Cultures and the Scientific Revolution
